file,trajectory,controller,IAE,ITAE,ISE,ICE,max_error,mean_error,final_error,settling_time,total_time,num_samples
compuesta_mpc_20251112_154658.csv,compuesta,mpc,0.180261,3.247561,0.001893,0.997699,0.012500,0.006780,0.003600,26.523000,26.522000,532
compuesta_mpc_20251112_154752.csv,compuesta,mpc,0.194212,3.477616,0.002123,0.996600,0.012600,0.007273,0.003100,26.620000,26.619000,534
compuesta_mpc_20251112_154845.csv,compuesta,mpc,0.186440,3.268206,0.001924,1.001357,0.012800,0.006997,0.002500,26.585000,26.584000,533
compuesta_mpc_20251112_154951.csv,compuesta,mpc,0.186616,3.346935,0.002022,0.992871,0.013300,0.007020,0.003300,26.550000,26.549000,532
compuesta_mpc_20251112_155118.csv,compuesta,mpc,0.172416,3.135318,0.001745,1.000045,0.012200,0.006593,0.002900,26.519000,26.518000,532
compuesta_mpc_20251112_155209.csv,compuesta,mpc,0.191941,3.463079,0.002056,1.001031,0.012900,0.007241,0.006100,26.525000,26.487000,531
compuesta_mpc_20251112_155258.csv,compuesta,mpc,0.182735,3.260240,0.001910,0.999501,0.012800,0.006900,0.002900,26.446000,26.445000,530
compuesta_mpc_20251112_155351.csv,compuesta,mpc,0.179575,3.273751,0.001884,0.995494,0.012600,0.006754,0.004200,26.522000,26.521000,532
compuesta_pid_20251112_135359.csv,compuesta,pid,0.288084,5.088601,0.005514,1.091262,0.023600,0.011601,0.008400,24.787000,24.785000,497
compuesta_pid_20251112_135622.csv,compuesta,pid,0.267496,4.789820,0.004830,1.539991,0.024000,0.010741,0.010700,24.852000,24.850000,498
compuesta_pid_20251112_135757.csv,compuesta,pid,0.274415,4.923490,0.005031,1.306039,0.024000,0.010948,0.007700,25.008000,25.006000,501
compuesta_pid_20251112_135852.csv,compuesta,pid,0.252847,4.573005,0.004378,1.438838,0.022700,0.010099,0.007700,25.007000,25.005000,501
compuesta_pid_20251112_140035.csv,compuesta,pid,0.278995,5.034715,0.005296,1.339052,0.023600,0.011134,0.007300,25.002000,25.000000,501
compuesta_pid_20251112_140257.csv,compuesta,pid,0.262074,4.758389,0.004689,1.569423,0.024400,0.010475,0.008100,24.954000,24.952000,501
compuesta_pid_20251112_140417.csv,compuesta,pid,0.260271,4.689561,0.004621,1.327969,0.022300,0.010389,0.007200,25.002000,25.000000,501
compuesta_pid_20251112_140510.csv,compuesta,pid,0.265156,4.795714,0.004818,1.286401,0.023200,0.010618,0.007800,24.930000,24.928000,500
compuesta_pid_20251112_140611.csv,compuesta,pid,0.262319,4.696711,0.004610,1.632329,0.023600,0.010453,0.006900,25.012000,25.010000,502
compuesta_pid_20251112_140713.csv,compuesta,pid,0.270984,4.879211,0.004972,1.250582,0.022900,0.010828,0.007800,24.958000,24.953000,501
compuesta_pid_20251112_140815.csv,compuesta,pid,0.266638,4.828656,0.004848,1.280779,0.023800,0.010649,0.007500,24.998000,24.996000,501
compuesta_pid_20251112_140907.csv,compuesta,pid,0.267865,4.838143,0.004911,1.263003,0.024100,0.010699,0.007300,25.005000,25.003000,501
compuesta_pid_20251112_140954.csv,compuesta,pid,0.255203,4.577523,0.004347,1.662030,0.022300,0.010176,0.007500,25.033000,25.002000,502
compuesta_pid_20251112_141042.csv,compuesta,pid,0.255464,4.618254,0.004416,1.674299,0.022300,0.010182,0.007600,25.038000,25.036000,502
compuesta_pid_20251112_141421.csv,compuesta,pid,0.268332,4.804645,0.004879,1.275214,0.023000,0.010741,0.007900,24.960000,24.942000,500
compuesta_pid_20251112_141507.csv,compuesta,pid,0.272827,4.908894,0.005044,1.483535,0.022700,0.010885,0.007300,25.003000,25.001000,501
compuesta_pid_20251112_141604.csv,compuesta,pid,0.261187,4.813916,0.004844,1.515021,0.024900,0.010434,0.007600,25.003000,25.001000,501
compuesta_pid_20251112_141658.csv,compuesta,pid,0.269603,4.900085,0.004986,1.241469,0.024500,0.010763,0.008200,25.005000,25.003000,501
compuesta_pid_20251112_141749.csv,compuesta,pid,0.261372,4.697581,0.004646,1.376365,0.022400,0.010459,0.007600,24.953000,24.951000,500
compuesta_pid_20251112_141840.csv,compuesta,pid,0.262641,4.811099,0.004831,1.186804,0.024000,0.010514,0.008200,24.956000,24.951000,500
compuesta_pid_20251112_141929.csv,compuesta,pid,0.281207,5.060908,0.005350,1.170310,0.024000,0.011254,0.007100,24.957000,24.948000,500
compuesta_pid_20251112_142015.csv,compuesta,pid,0.270429,4.903290,0.004988,1.464214,0.023800,0.010794,0.007800,25.004000,25.002000,501
compuesta_pid_20251112_142110.csv,compuesta,pid,0.266081,4.793209,0.004792,1.395827,0.023700,0.010652,0.007600,24.933000,24.931000,500
compuesta_pid_20251112_142200.csv,compuesta,pid,0.259709,4.666632,0.004578,1.463876,0.022700,0.010392,0.007400,24.937000,24.935000,499
compuesta_pid_20251112_142255.csv,compuesta,pid,0.268558,4.836261,0.004887,1.063642,0.022900,0.010751,0.008100,24.945000,24.943000,500
compuesta_pid_20251112_142347.csv,compuesta,pid,0.247726,4.478415,0.004195,1.664135,0.022600,0.009897,0.007000,25.001000,24.999000,501
compuesta_pid_20251112_142448.csv,compuesta,pid,0.263170,4.780440,0.004769,1.442135,0.023900,0.010507,0.007100,25.004000,25.002000,501
compuesta_pid_20251112_142546.csv,compuesta,pid,0.257795,4.679726,0.004596,1.387984,0.023100,0.010308,0.007500,25.003000,25.001000,501
compuesta_pid_20251112_142635.csv,compuesta,pid,0.265527,4.862079,0.004902,1.559071,0.024900,0.010629,0.008900,24.943000,24.935000,500
compuesta_pid_20251112_142720.csv,compuesta,pid,0.267536,4.805781,0.004880,1.287534,0.021900,0.010674,0.007400,24.999000,24.997000,501
compuesta_pure_20251107_150359.csv,compuesta,pure,0.080734,0.978879,0.000403,0.993553,0.008800,0.003196,0.001200,25.031000,25.030000,506
compuesta_pure_20251107_150726.csv,compuesta,pure,0.138772,1.288772,0.001305,1.011493,0.015700,0.005424,0.002300,25.278000,25.277000,489
compuesta_pure_20251107_150835.csv,compuesta,pure,0.070208,0.809787,0.000252,0.991818,0.005900,0.002797,0.001100,25.122000,25.121000,504
compuesta_pure_20251107_150952.csv,compuesta,pure,0.069576,0.817858,0.000259,0.986016,0.006800,0.002742,0.001200,25.071000,25.028000,518
compuesta_pure_20251107_151102.csv,compuesta,pure,0.081628,0.923213,0.000355,1.000382,0.006400,0.003246,0.002000,25.189000,25.188000,510
compuesta_pure_20251107_151217.csv,compuesta,pure,0.070536,0.801385,0.000260,0.990022,0.005500,0.002829,0.001300,25.056000,25.055000,502
compuesta_pure_20251107_151324.csv,compuesta,pure,0.094380,0.960677,0.000533,0.982841,0.009700,0.003773,0.001300,24.933000,24.932000,501
compuesta_pure_20251107_151419.csv,compuesta,pure,0.064812,0.817672,0.000257,0.989853,0.008700,0.002578,0.001100,25.065000,25.064000,503
compuesta_pure_20251107_151517.csv,compuesta,pure,0.069353,0.836478,0.000299,0.990340,0.009100,0.002757,0.001300,25.042000,25.041000,503
compuesta_pure_20251107_151619.csv,compuesta,pure,0.063962,0.705581,0.000223,0.979621,0.006900,0.002552,0.001300,24.926000,24.925000,501
compuesta_pure_20251107_151724.csv,compuesta,pure,0.081578,0.950460,0.000416,0.994378,0.010000,0.003241,0.001200,25.071000,25.070000,503
compuesta_pure_20251107_151825.csv,compuesta,pure,0.062431,0.770950,0.000227,0.991929,0.007700,0.002460,0.001100,25.164000,25.087000,505
compuesta_pure_20251107_151918.csv,compuesta,pure,0.055352,0.730600,0.000218,0.980915,0.008600,0.002216,0.001200,24.908000,24.907000,500
compuesta_pure_20251107_152020.csv,compuesta,pure,0.095660,1.098320,0.000719,1.086365,0.045000,0.003892,0.045000,25.664000,25.610000,509
compuesta_pure_20251107_152126.csv,compuesta,pure,0.075343,0.873226,0.000397,0.991828,0.009300,0.003006,0.001000,25.107000,25.106000,501
compuesta_pure_20251107_152228.csv,compuesta,pure,0.091908,0.968440,0.000624,0.983448,0.010400,0.003678,0.001000,24.923000,24.922000,500
compuesta_pure_20251107_152514.csv,compuesta,pure,0.071564,0.886627,0.000311,0.988576,0.009600,0.002859,0.001300,24.933000,24.932000,501
compuesta_pure_20251107_152628.csv,compuesta,pure,0.078983,0.807575,0.000341,0.980242,0.007000,0.003154,0.000900,24.930000,24.929000,501
compuesta_pure_20251107_152727.csv,compuesta,pure,0.078969,0.992088,0.000371,0.987892,0.009800,0.003167,0.001400,24.877000,24.876000,499
compuesta_pure_20251107_152825.csv,compuesta,pure,0.069781,0.855692,0.000275,0.983921,0.009100,0.002798,0.001100,24.880000,24.879000,499
compuesta_pure_20251107_153040.csv,compuesta,pure,0.087018,0.957545,0.000396,0.986496,0.008000,0.003482,0.001400,24.880000,24.879000,500
compuesta_pure_20251107_153132.csv,compuesta,pure,0.070628,0.913126,0.000343,0.979043,0.010100,0.002827,0.001200,24.858000,24.857000,500
compuesta_pure_20251107_153223.csv,compuesta,pure,0.082688,0.986408,0.000330,0.987358,0.006000,0.003307,0.001500,24.922000,24.921000,500
compuesta_pure_20251107_153314.csv,compuesta,pure,0.095960,1.126002,0.000571,0.995712,0.010200,0.003844,0.001700,24.888000,24.887000,500
compuesta_pure_20251107_153413.csv,compuesta,pure,0.086126,0.976111,0.000370,0.988207,0.006600,0.003454,0.001800,24.873000,24.872000,499
compuesta_pure_20251107_153501.csv,compuesta,pure,0.107804,1.218567,0.000761,0.990765,0.011300,0.004315,0.001500,24.873000,24.872000,500
compuesta_pure_20251107_153549.csv,compuesta,pure,0.070643,0.958257,0.000286,0.992639,0.008300,0.002828,0.001800,24.910000,24.909000,500
compuesta_pure_20251107_153637.csv,compuesta,pure,0.078497,0.959491,0.000381,0.988485,0.010300,0.003140,0.001200,24.928000,24.927000,500
compuesta_pure_20251107_153728.csv,compuesta,pure,0.071477,0.972598,0.000287,0.991126,0.008800,0.002868,0.001900,24.860000,24.859000,499
compuesta_pure_20251107_153818.csv,compuesta,pure,0.084708,1.011843,0.000350,0.986282,0.006300,0.003389,0.001400,24.893000,24.892000,500
lyapunov_20251101_152420.csv,cuadrada,lyapunov,0.717762,23.436008,0.017536,6.883368,0.038100,0.013064,0.002400,54.854000,54.838000,1099
lyapunov_20251101_152537.csv,cuadrada,lyapunov,0.727637,23.419585,0.017064,6.785284,0.037800,0.013264,0.002300,54.837000,54.720000,1097
lyapunov_20251101_152651.csv,cuadrada,lyapunov,0.732602,23.895198,0.017726,6.822495,0.041600,0.013348,0.002400,54.878000,54.760000,1098
lyapunov_20251101_153054.csv,cuadrada,lyapunov,0.758761,24.020843,0.018605,6.902111,0.039000,0.013814,0.002400,54.890000,54.888000,1099
lyapunov_20251101_153236.csv,cuadrada,lyapunov,0.763429,23.886218,0.019208,6.835157,0.041100,0.013907,0.002400,54.880000,54.864000,1098
lyapunov_20251101_153354.csv,cuadrada,lyapunov,0.763397,24.087527,0.018946,6.869325,0.039800,0.013899,0.002400,54.894000,54.776000,1098
lyapunov_20251101_153524.csv,cuadrada,lyapunov,0.764059,23.977163,0.018951,6.901400,0.040500,0.013916,0.002400,54.841000,54.840000,1098
lyapunov_20251101_153735.csv,cuadrada,lyapunov,0.775732,24.701421,0.019811,6.942813,0.042200,0.014101,0.002500,54.962000,54.961000,1100
